Issue Type,Issue key,Issue id,Summary,Custom field (Story Points),Status,Updated,Created,Priority,Resolution,Custom field (Resolution / Mitigation Solution),Custom field (Vertical),Custom field (Responsible Team),Custom field (Client),Custom field (Client),Custom field (Root cause (text))
Task,POSTRCA-30440,12115532,SCI000012392214 - STVA - Legacy - Samsung TV - SLP-1007 error on 'Music choice channel,,Closed,"Feb 9, 2026 12:05 PM","Sep 11, 2024 12:39 AM",Major/Medium,Fixed/Completed,Closing as no instances of issue occurring for over a month.  Can open back up if customer reports issue occurring again.,IP Video,,,,Closing as no instances of issue occurring for over a month.  Can open back up if customer reports issue occurring again.
Task,POSTRCA-31685,15626302,CDVR TVSDK (Shaka) ABR Drop with AVC Variable Bitrate Release,,Closed,"Feb 17, 2026 1:24 PM","Dec 10, 2025 11:54 AM",Major/Medium,Fixed/Completed,"Closing this ticket as dev has  POSTRCA-31728 for tracking this work, and ongoing experiments to adjust.",IP Video,,,,"With the release of VBR in AVC streams, Shaka is calculating our bitrate lower than the ladder it is on. Essentially it never shifts-up when it's very clear to do so on AVC streams. HEVC seems fine."
Task,POSTRCA-30753,12838905,STVA - Poor quality on STVA when watching sports - other apps working properly,,Closed,"Jan 23, 2026 11:33 AM","Jan 2, 2025 1:38 AM",Major/Medium,Fixed/Completed,Closing this ticket as there is no further work for DPS to complete on this ticket.  The proposed changes from testing were delivered via deck to executive leadership to review.  Any next actions that will or will not occur will be decided at that level. ,IP Video,,,,Closing this ticket as there is no further work for DPS to complete on this ticket.  The proposed changes from testing were delivered via deck to executive leadership to review.  Any next actions that will or will not occur will be decided at that level. 
Task,POSTRCA-29079,10022629,Drop in App Entry on OVP starting on 11/21,,Closed,"Feb 9, 2026 12:10 PM","Nov 22, 2023 9:34 AM",Critical/High,Fixed/Completed,Closing this ticket due to work is being performed on the https://jira.charter.com/browse/POSTRCA-28064.,IP Video,,Website,,Closing this ticket due to work is being performed on the https://jira.charter.com/browse/POSTRCA-28064.
Task,POSTRCA-31525,15156656,ECAF: MARSHA GARELICK : Xumo (Cloud DVR),,Closed,"Mar 27, 2026 1:02 PM","Oct 14, 2025 5:32 AM",Major/Medium,Fixed/Completed,Closing ticket. No responses from requests for issues with purple screen.  Logs from device for XUMO-502 were not available so not able to look at that instance further.  Further troubleshooting for segments missing playback can be tracked under POSTRCA-31207 if reported. ,IP Video,,,,Closing ticket. No responses from requests for issues with purple screen.  Logs from device for XUMO-502 were not available so not able to look at that instance further.  Further troubleshooting for segments missing playback can be tracked under POSTRCA-31207 if reported. 
Task,POSTRCA-31648,15520435,Xumo : Activation - Spectrum app missing from Home screen after activation,,Closed,"Feb 10, 2026 12:19 PM","Nov 25, 2025 10:03 AM",Major/Medium,Won't Fix/Complete,Comcast program will follow up on the new feature request for doing softcat refresh after activation,IP Video,,,,Sometimes the app widgets fails to download during the activation process causing this issue. The impact is very low and a reboot resolves it. 
Task,POSTRCA-31868,16113862,Apple TV : Startup Channel defaulting to Spectrum News 1 HD,,Closed,"Mar 2, 2026 9:28 AM","Feb 25, 2026 8:31 AM",Major/Medium,Fixed/Completed,"Could not replicate the issue on Apple TV 
Couldn't get more information from customer as customer couldn't be contacted.",IP Video,,,,"Could not replicate the issue on Apple TV 
Couldn't get more information from customer as customer couldn't be contacted."
Task,POSTRCA-31799,15962887,Spike in stream init failures and broken streams on PLTV starting on 2/2,,Closed,"Feb 12, 2026 4:07 PM","Feb 4, 2026 1:46 PM",Major/Medium,Fixed/Completed,"Could see 2 spikes, 
1st - majorly for channel TV One
2nd - was mostly on spectrum news channels
Subsided on its own.",IP Video,,,,"Could see 2 spikes, 
1st - majorly for channel TV One
2nd - was mostly on spectrum news channels
Subsided on its own."
Task,POSTRCA-31270,14260562,SCI000012495641 - TVE - Subscription error on CBS,,Closed,"Jan 9, 2026 1:27 PM","Jul 9, 2025 1:15 AM",Major/Medium,Fixed/Completed,Created CEITEAM-6449,IP Video,,,,TVE DB out of sync
Task,POSTRCA-31470,15008489,"STVA - Roku - Customer has no ""View All"" for OnDemand Shelfs",,Blocked,"Mar 23, 2026 5:26 AM","Sep 25, 2025 7:11 PM",Major/Medium,,Created Roku dev ticket,IP Video,,,,Empty
Task,POSTRCA-31898,16222691,"SE | Xumo: 2103 error when trying to access paramount+ content",,In Progress,"Mar 23, 2026 10:55 AM","Mar 11, 2026 9:50 AM",Major/Medium,,"Customer Fix Action - ""Paramount+ Essential"" is Activated, suggested to retry",Seamless Ent,,,,Empty
Task,POSTRCA-31871,16123525,STVA - Incorrect Time displayed on Guide for Vizio TV,,Ready For Work,"Mar 11, 2026 3:51 AM","Feb 26, 2026 6:40 AM",Major/Medium,,Customer Fix Action - Instructed the customer to set the correct settings on the Vizio TV,Traditional Video,,,,Empty
Task,POSTRCA-31851,16011707,"Roku - STVA - Guide filter - Selecting any option/filter getting ""No channels match this filter"". Also 4K option in filter is not showing",,Blocked,"Mar 30, 2026 9:48 AM","Feb 11, 2026 11:45 AM",Major/Medium,,Customer Fix Action - Suggested to replace the remote battery and retry,IP Video,,,,Empty
Task,POSTRCA-8758,5543645,R5 - QAM - AVN-CL-INTR - STB IP address acquisition issue,,Closed,"Mar 12, 2026 1:16 PM","Aug 16, 2021 11:16 AM",Major/Medium,Fixed/Completed,Customer Retry after sometime,Traditional Video,,,,Software
Task,POSTRCA-31602,15386861,Seamless Ent - AMC+ Login Issue,,Closed,"Feb 9, 2026 12:08 PM","Nov 9, 2025 11:44 PM",Major/Medium,Fixed/Completed,"Customer forgot password and the design choice of no mailbox associated to the username is what caused the issue. 
",Seamless Ent,,,,No mailbox design choice. 
Task,POSTRCA-8418,4040229,"SIT_A6_SGUI 2.47.10 - AllvsNew - Intermittently Series Recording Setting ""New Episodes Only"" not getting saved.",,Closed,"Mar 12, 2026 10:28 AM","Sep 28, 2020 4:57 PM",Minor/Low,Fixed/Completed,Customer has to wait for the cassandra to sync before launching the session.,Traditional Video,,Spectrum Guide,,Fixed in SGC 5.74/SGA 7.1.2 / SGUI 3.1.2 / DVR decouple
Task,POSTRCA-31761,15877438,Xumo : Spec Fed Auth - Investigate the drop in success rate of Spectrum Fed Auth since 1/8,,Closed,"Jan 29, 2026 11:21 AM","Jan 23, 2026 1:07 PM",Major/Medium,Fixed/Completed,Data tagging issue for tabaleau dashboard after the IDM release on 1/8,IP Video,,,,Data tagging issue for tabaleau dashboard after the IDM release on 1/8
Task,POSTRCA-30813,12950954,"Samsung Gun Point VOD | Spanish Only/No English Option",,Closed,"Jan 9, 2026 1:15 PM","Jan 16, 2025 10:44 AM",Major/Medium,Fixed/Completed,Deluxe updated the asset on their side to resolve the audio track issue. ,IP Video,,,,Primary (and only) audio track was Spanish. 
Task,POSTRCA-31875,16133712,"STVA|Android|CDVR: Asset name is not displayed on the scheduled tab recordings list for future asset (movie) recordings",,Closed,"Mar 19, 2026 12:51 PM","Feb 27, 2026 2:14 AM",Major/Medium,Fixed/Completed,"Dev Fix: STVDROID-9826
Fix went in app version - 9.98.0",IP Video,,,,"Dev Fix: STVDROID-9826
Fix went in app version - 9.98.0"
Task,POSTRCA-31541,15196398,Validate session /Device Verifier hold the identity which is not associated with account,,Closed,"Mar 19, 2026 11:16 AM","Oct 17, 2025 2:40 PM",Major/Medium,Fixed/Completed,Dev fix - PINXT-27947,IP Video,,,,"Dev fix - PINXT-27947

Went in with 1.123 on Feb-27"
Task,POSTRCA-30471,12180147,ECAF - 2227509- Slow load times while changing channels through Mini Guide & Guide on Samsung TV (For Approval),,Closed,"Feb 9, 2026 12:05 PM","Sep 19, 2024 9:39 PM",Major/Medium,Fixed/Completed,Dev looked at the tuning time and has confirmed this is normal for this customers type of TV. Customers tune time matches the general population of tuning time for that specific tv model and year. Dev has confirmed that they do not have plans to improve the tuning time for that specific TV model. ,IP Video,,,,Dev looked at the tuning time and has confirmed this is normal for this customers type of TV. Customers tune time matches the general population of tuning time for that specific tv model and year. Dev has confirmed that they do not have plans to improve the tuning time for that specific TV model. 
Task,POSTRCA-31793,15956139,Xumo: STVA - Guide displaying incorrect time ,,Closed,"Mar 19, 2026 11:07 AM","Feb 4, 2026 12:24 AM",Major/Medium,Fixed/Completed,"Dev ticket - STVTVSDK-16844
Fix went in with app version - 32.26.9",IP Video,,,,"Dev fix STVTVSDK-16844
Fix went in with app version - 32.26.9"
Task,POSTRCA-31687,15626171,Xumo - STVA : Investigate Business accounts with low CSAT score ,,Closed,"Jan 13, 2026 10:57 AM","Dec 10, 2025 12:16 PM",Major/Medium,Won't Fix/Complete,Did not find any common factor in the identified accounts that would indicate a wide spread issue.,IP Video,,,,Streaming issues on STVA were all related to network connectivity to the devices. Comcast also identified error markers resulting from inadequate network connection to the devices 
Task,POSTRCA-31867,16109799,Stream Quality Degradation on SpecU App,,Closed,"Feb 27, 2026 11:31 AM","Feb 24, 2026 3:26 PM",Major/Medium,Fixed/Completed,Disabling the 'no-match' routing update resolved the stream quality degradation issue in the Spectrum TV app.,IP Video,,,,Disabling the 'no-match' routing update resolved the stream quality degradation issue in the Spectrum TV app.
Task,POSTRCA-31718,15706683,"12/19 - 12/20 CDVR rise in 15k ""The recorder has failed and was unable to service the request"" errors from Delivery | Playback Failures ",,Closed,"Feb 17, 2026 12:00 PM","Dec 23, 2025 1:24 PM",Major/Medium,Fixed/Completed,"Due to scheduler trying to record on services that were already removed. IPVD believed to BAU cleanup that was missed but was not able to confirm. 

When checking the stream identifiers below which caused tons of recording errors. Most of them have expired, and one of them does not exist.  They were trying to understand why the recording requests were received with expired streams. 

""description"": ""Failed to resolve data center for requested stream identifier: 
21344"", (QPT35HD - Expiry: 2024-07-24 15:09:53.819824)
13322"", (WVCYDT - Expiry: 2025-07-30 16:21:17.038829)
21686"", (SNYHD - Expiry: 2025-10-14 16:39:37.892911)
25838"", (DABL - Expiry: 2025-12-16 16:40:49.877760)
12550"", (WTVIDT2 - Expiry: 2025-04-16 15:51:27.705230)
12630"", (does not exist in cDVR)  
",IP Video,,,,"Due to scheduler trying to record on services that were already removed. IPVD believed to BAU cleanup that was missed but was not able to confirm. 

When checking the stream identifiers below which caused tons of recording errors. Most of them have expired, and one of them does not exist.  They were trying to understand why the recording requests were received with expired streams. 

""description"": ""Failed to resolve data center for requested stream identifier: 
21344"", (QPT35HD - Expiry: 2024-07-24 15:09:53.819824)
13322"", (WVCYDT - Expiry: 2025-07-30 16:21:17.038829)
21686"", (SNYHD - Expiry: 2025-10-14 16:39:37.892911)
25838"", (DABL - Expiry: 2025-12-16 16:40:49.877760)
12550"", (WTVIDT2 - Expiry: 2025-04-16 15:51:27.705230)
12630"", (does not exist in cDVR)  "
Task,POSTRCA-31781,15931302,CDVR Enhancement Request In New Kumo UI To Add Way To Delete Mulitples of Duplicates,,Closed,"Mar 3, 2026 11:54 AM","Jan 30, 2026 1:42 PM",Major/Medium,Fixed/Completed,Duplicate episodes being recorded manually can now be deleted in Spec Nav with customer permission and request for specific ones wanting deleted. If they request must have PAC permission/confirmation from customer then we can delete requested episodes. ,IP Video,,,,Duplicate episodes being recorded manually can now be deleted in Spec Nav with customer permission and request for specific ones wanting deleted. If they request must have PAC permission/confirmation from customer then we can delete requested episodes. 
Task,POSTRCA-31681,15618500,[Exec Escalation - John Williams] Remove duplicate channels and add local broadcasting,,Closed,"Jan 22, 2026 3:32 PM","Dec 9, 2025 1:21 PM",Major/Medium,Fixed/Completed,Employee account. Speciality  account to change the lineup after the required approval,IP Video,,,,NA
Task,POSTRCA-31785,15941449,Spike in stream init failures and broken streams on PLTV on 2/1,,Closed,"Feb 10, 2026 7:45 AM","Feb 2, 2026 11:57 AM",Major/Medium,Fixed/Completed,"Errors 2/1 18:00 - 23:30 MST : Largely on Roku/Xumo for both PLTV/CDVR. as they stated in INC's  INC000035898672, and active INC000035903117.  
CDVR : HGTV, FOOD, Lifetime : Errors largely out of CLT on VMR's,  plbk-chdcnc-vmr102.cdvr.spectrum.com, plbk-chdcnc-vmr106.cdvr.spectrum.com, plbk-chdcnc-vmr104.cdvr.spectrum.com 
PLTV : Errors on AMC, History, HGTV, FOOD, Lifetime;  Failures from : pltv.stvacdn.spectrum.com, pltv-novi.stvacdn.spectrum.com on PLTV.
For PLTV : 3 quick spikes 18:11 - 18:18 20:39 - 20:52, 21:09 - 21:13 MST scattered throughout the East sites, with impacts to mostly (History, HGTV, FOOD, AMC, WE, Lifetime).  Additional 2 Spikes were LCHTR : Alabama :BIRM 19:16 - 19:51, 22:31 - 23:14 MST, and  LEED 19:44 - 19:57, 22:48 - 23:14 MST.  All the short spikes show signatures of network events but found no INC/CHG work related for any of them, and  IPVD was not able to find anything either.",IP Video,,,,"Errors 2/1 18:00 - 23:30 MST : Largely on Roku/Xumo for both PLTV/CDVR. as they stated in INC's  INC000035898672, and active INC000035903117.  
CDVR : HGTV, FOOD, Lifetime : Errors largely out of CLT on VMR's,  plbk-chdcnc-vmr102.cdvr.spectrum.com, plbk-chdcnc-vmr106.cdvr.spectrum.com, plbk-chdcnc-vmr104.cdvr.spectrum.com 
PLTV : Errors on AMC, History, HGTV, FOOD, Lifetime;  Failures from : pltv.stvacdn.spectrum.com, pltv-novi.stvacdn.spectrum.com on PLTV.

For PLTV : 3 quick spikes 18:11 - 18:18 20:39 - 20:52, 21:09 - 21:13 MST scattered throughout the East sites, with impacts to mostly (History, HGTV, FOOD, AMC, WE, Lifetime).  Additional 2 Spikes were LCHTR : Alabama :BIRM 19:16 - 19:51, 22:31 - 23:14 MST, and  LEED 19:44 - 19:57, 22:48 - 23:14 MST.  All the short spikes show signatures of network events but found no INC/CHG work related for any of them, and  IPVD was not able to find anything either."
Task,POSTRCA-31740,15802389,Xumo : AAMP - Investigate the increase in AAMP_ERR_BuffUnderFlow since 12/3,,Closed,"Feb 18, 2026 1:32 PM","Jan 13, 2026 11:14 AM",Major/Medium,Fixed/Completed,Expected change due to Live latency and VBR implementation. ,IP Video,,,,Expected change due to Live latency and VBR implementation. 
Task,POSTRCA-31764,15879023,CDVR Surge in failed recordings on 1/21 and 1/22,,Closed,"Jan 30, 2026 10:24 AM","Jan 23, 2026 3:06 PM",Major/Medium,Fixed/Completed,Finished the last of the upgrades and released on Wednesday 1/28.,IP Video,,,,Finished the last of the upgrades and released on Wednesday 1/28.
Task,POSTRCA-31719,15708220,SpecU : Unable to stream Content Insertion Channels,,Closed,"Jan 27, 2026 9:50 AM","Dec 23, 2025 4:13 PM",Major/Medium,Fixed/Completed,Fix for this issue was deployed to prod with IPVS 2026.2 release. ,IP Video,,,,Fix for this issue was deployed to prod with IPVS 2026.2 release. 
Task,POSTRCA-31703,15678926,Samsung TV/Xumo - STVA - Unable to play certain recordings getting blank screen with three dots,,Closed,"Mar 5, 2026 12:27 PM","Dec 18, 2025 4:31 AM",Major/Medium,Fixed/Completed,Fix in NNS Event_20 was deployed to production last night.  Confirmed with a number of accounts could play back the assets in question now without issue. ,IP Video,,,,Fix in NNS Event_20 was deployed to production last night.  Confirmed with a number of accounts could play back the assets in question now without issue. 
Task,POSTRCA-31755,15848734,CDVR - Recordings appear to not delete after 3 months (Due to recording retention settings at time of recording),,Closed,"Mar 19, 2026 1:39 PM","Jan 20, 2026 8:07 PM",Major/Medium,Fixed/Completed,Fix was deployed last night for making changes to retention time post CDVR Unlimited for SVMARS-3377 under Intake VOINTAKE-76220. Confirmed could make changes to test accounts and they persisted as expected.,IP Video,,,,"Fix was deployed last night for making changes to retention time post CDVR Unlimited for SVMARS-3377 under Intake [VOINTAKE-76220.|https://jira.charter.com/browse/VOINTAKE-74443] Confirmed could make changes to test accounts and they persisted as expected.

 "
Task,POSTRCA-31794,15956206,STVA - Roku - OnDemand - Timer not showing up for the next show when the currently streaming title is about to end,,Closed,"Mar 3, 2026 5:47 AM","Feb 4, 2026 12:45 AM",Major/Medium,Fixed/Completed,Fixed in Roku Release 16.1.0 I am no longer able to replicate since the deployment of this release to Roku. ,IP Video,,,,Fixed in Roku Release 16.1.0 I am no longer able to replicate since the deployment of this release to Roku. 
Task,POSTRCA-31392,14529380,ES1 : [Exec - Matt Wagner] : STVA - Black screen on live tile after device wake up ,,Closed,"Jan 14, 2026 10:15 AM","Aug 11, 2025 10:20 AM",Major/Medium,Fixed/Completed,"Fixed with STVA app version 32.19.0 
Dev work - STVTVSDK-15754 and STVTVSDK-15992",IP Video,,,,"This might be related to the app lifecycle changes, as we're not seeing this issue when not participating in the experiment"
Task,POSTRCA-31866,16108974," [XUMO-Executive-Escalation] Spectrum News always on function isn't ""on"" anymore",,Closed,"Mar 20, 2026 10:45 AM","Feb 24, 2026 2:03 PM",Major/Medium,Fixed/Completed,Fixed with STVA app version 32.26.9,IP Video,,,,Current logic is to store initial tune channel on warm and cold launch to local storage and use same channel for early tune (reboot into pip) causing early tune to tune to last warm launch channel instead of startup channel.
Task,POSTRCA-31441,14916569,STVA - Fast forwarding of asset goes back to beginning on Apple TV,,Closed,"Mar 4, 2026 5:58 AM","Sep 17, 2025 9:22 AM",Major/Medium,Fixed/Completed,Fxed in December 2025 under POSTRCA-31447 / IPVIDEOENG-4185. No new examples have been provided closing this RCA and a new investigation can be open if issue is seen since fixes were deployed. ,IP Video,,,,Fxed in December 2025 under POSTRCA-31447 / IPVIDEOENG-4185. No new examples have been provided closing this RCA and a new investigation can be open if issue is seen since fixes were deployed.
Task,POSTRCA-31826,16027696, SCI000012555738 - Not able to record series on Ch. 99,,Closed,"Feb 25, 2026 3:38 PM","Feb 12, 2026 11:00 PM",Major/Medium,Fixed/Completed,HD and SD pairing,Traditional Video,,,,HD and SD pairing was missing
Task,POSTRCA-31146,13930576,CDVR Kumo/GUI Recording Quota Gets Out Of Sync,,Closed,"Mar 5, 2026 1:30 PM","May 27, 2025 12:29 PM",Major/Medium,Fixed/Completed,"Had conversation with Juan and  SVMARS-2902 is being left open in backlog for their team for to investigate how a concurrency issue in CDVR services could result in creating duplicate series recordings in edge case scenarios, not related to this ticket. The issue for out of sync is no longer and issue and can be closed.  Closing ticket.",IP Video,,,,"Had conversation with Juan and   SVMARS-2902 is being left open in backlog for their team for to investigate how a concurrency issue in CDVR services could result in creating duplicate series recordings in edge case scenarios, not related to this ticket. The issue for out of sync is no longer and issue and can be closed.  Closing ticket."
Task,POSTRCA-31521,15147363,Seamless Ent - Fox One - Unable to activate app,,Closed,"Jan 16, 2026 12:17 PM","Oct 13, 2025 8:02 AM",Major/Medium,Fixed/Completed,"Here are the POC's for FOX: All the activation issues with FoxOne App needs to go to below POC's :

Torres, José antonio.torres@fox.com; Lin, Shuoyen shuo-yen.lin@fox.com; Markarian, Lindy Lindy.Markarian@fox.com; Jivani, Sanam sanam.jivani@fox.com; Prasad, Arul arulprasad.ml@fox.com",Seamless Ent,,,,"Here are the POC's for FOX: All the activation issues with FoxOne App needs to go to below POC's :

Torres, José [antonio.torres@fox.com|mailto:antonio.torres@fox.com]; Lin, Shuoyen [shuo-yen.lin@fox.com|mailto:shuo-yen.lin@fox.com]; Markarian, Lindy [Lindy.Markarian@fox.com|mailto:Lindy.Markarian@fox.com]; Jivani, Sanam [sanam.jivani@fox.com|mailto:sanam.jivani@fox.com]; Prasad, Arul [arulprasad.ml@fox.com|mailto:arulprasad.ml@fox.com]"
Task,POSTRCA-31872,16124014,"SCI000012554251 - Guide Mismatch with entitlements | Location Change",,Closed,"Mar 9, 2026 2:32 PM","Feb 26, 2026 7:25 AM",Major/Medium,Fixed/Completed,House number/ location number updated,Traditional Video,,,,"Troubleshooting Steps: what all did we check?
Created CEITEAM

Product advised the account's location number was incorrect and required update
Resolution: what lead to the resolution?

Sales activation and NFS worked to update the location number"
Task,POSTRCA-31636,15474285,App Entry score increase starting on 11/15,,Closed,"Jan 8, 2026 1:52 PM","Nov 19, 2025 11:24 AM",Major/Medium,Fixed/Completed,"I analyzed the App entry score trends over the past four months and found a minor decline from mid-November through December, likely attributed to holiday traffic patterns. The score has since returned to normal levels and currently stands at 97.63%. No specific software issues were identified that contributed to the temporary decline.",IP Video,,,,"I analyzed the App entry score trends over the past four months and found a minor decline from mid-November through December, likely attributed to holiday traffic patterns. The score has since returned to normal levels and currently stands at 97.63%. No specific software issues were identified that contributed to the temporary decline."
Task,POSTRCA-30864,13110823,Location/v2 returns BTM as False for Map-T IP's,,Closed,"Mar 5, 2026 12:56 PM","Feb 7, 2025 11:05 AM",Major/Medium,Fixed/Completed,"I've learned from PINXT that all requests are now being routed through PINXT, and the source port is being included in all requests. We haven't seen any escalations on this issue for a while. Closing this ticket as the issue appears to be resolved.",IP Video,,,,Architects and DEV are working on the side to remove the logic(MAP-T flag should not be used for any decision making and always pass on the IP address and source port in the request) on PINXT Video Gateway/PILITE. It seems like we're good to close this ticket now. Please let me know if you see any SCI's with this issue.
Task,POSTRCA-9747,8974012,Increase in 3802 errors in STVN market due to STREAM-NO-PMT on multiple channels.,,Blocked,"Mar 23, 2026 11:17 AM","Jun 9, 2023 8:54 AM",Major/Medium,,INC000027045803,Traditional Video,AE,Set Top Box,,Empty
Task,POSTRCA-31273,14271567,"[ROKU |XUMO | Samsung | LG TV] STVA - Unable to dismiss EAS screen / Struck on EAS screen",,Ready For Work,"Mar 10, 2026 12:12 PM","Jul 9, 2025 10:27 PM",Major/Medium,,INC000033836930 ,IP Video,,,,
Task,POSTRCA-31560,15272761,Buffalo NY cDVR MOS controller below 80% starting on 10/26,,Blocked,"Mar 27, 2026 12:15 PM","Oct 27, 2025 1:21 PM",Major/Medium,,INC000035050216 : ISP closed INC that issue self cleared from provider and they are no longer seeing errors.  They moved the feed back to the primary and deleted the backup feed.  MOS looks good since 11/7.,IP Video,,,,INC000035050216 : ISP closed INC that issue self cleared from provider and they are no longer seeing errors.  They moved the feed back to the primary and deleted the backup feed.  MOS looks good since 11/7.
Task,POSTRCA-31816,15995527,STVA & SG - Content Mismatch reported on The Filipino Channel (TFC) ,,Closed,"Feb 17, 2026 12:30 PM","Feb 9, 2026 11:39 PM",Major/Medium,Fixed/Completed,INC000035933804 and Grace-note  ticket # 457193 ,IP Video,,,,NC000035933804 and Grace-note  ticket # 457193 
Task,POSTRCA-31907,16249010,Spike in stream init failures and broken streams on 3/12,,Closed,"Mar 16, 2026 11:23 AM","Mar 13, 2026 3:25 PM",Major/Medium,Fixed/Completed, INC000036277909 ,IP Video,,,,INC000036277909
